,processor_company,Ram_1,Ram_type,Processor,Brand,Operating_System,SSD,HDD,Touch_Screen,Price
259,Intel,8,DDR4,i5,DELL,win11,512,0,no,67990
260,AMD,16,DDR5,r9,ASUS,win11,1020,0,no,194990
261,AMD,8,DDR4,r5,Lenovo,win11,512,0,no,44990
262,Intel,8,DDR4,i5,Lenovo,win10,512,0,no,58000
263,Intel,8,LPDDR4X,i3,Infinix,win11,256,0,no,29990
264,AMD,16,LPDDR5,r7,ASUS,win11,1020,0,yes,114990
265,AMD,8,DDR4,r3,HP,win11,512,0,no,33990
266,Intel,8,DDR4,i5,RedmiBook,win11,512,0,no,39990
267,AMD,16,DDR5,r9,ASUS,win11,1020,0,no,196990
268,AMD,16,DDR4,r5,ASUS,win11,512,0,no,64990
269,Intel,16,DDR4,i5,Lenovo,win11,512,0,no,79990
270,AMD,8,DDR4,r5,Lenovo,win11,512,0,no,38705
271,AMD,16,DDR4,r7,ASUS,win11,1020,0,no,85990
272,Intel,8,LPDDR4X,i3,Infinix,win11,256,0,no,28990
273,AMD,8,DDR4,r5,ASUS,win11,512,0,no,56990
274,AMD,16,DDR4,r5,HP,win11,512,0,yes,81990
275,Intel,16,DDR4,i7,MSI,win10,1020,0,no,129990
276,AMD,8,DDR4,r3,Lenovo,win11,512,0,no,35590
277,AMD,16,DDR4,r9,ASUS,win11,1020,0,no,150990
278,AMD,8,DDR4,r3,DELL,win10,0,1020,no,38990
279,AMD,16,DDR4,r7,HP,win10,256,1020,no,79990
280,Intel,8,DDR4,i3,Lenovo,win11,256,0,no,36990
281,Intel,8,DDR4,i3,Lenovo,win11,512,0,no,39990
282,Apple,8,Unified,M2,APPLE,MacOS,512,0,no,139990
283,Intel,16,DDR5,i7,ASUS,win11,1020,0,no,109990
284,AMD,16,DDR5,r9,ASUS,win11,1020,0,no,154990
285,Intel,16,DDR4,i5,Lenovo,win11,512,0,no,62990
286,AMD,16,DDR5,r9,ASUS,win11,1020,0,no,194990
287,AMD,8,DDR4,r5,Lenovo,win11,512,0,no,44990
288,Intel,8,DDR4,i3,ASUS,win11,512,0,no,47990
289,AMD,8,DDR4,r3,DELL,win11,512,0,no,43667
290,AMD,16,DDR5,r7,ASUS,win11,1020,0,no,135990
